review_id,text
r001,"The battery dies fast but the screen is gorgeous."
r002,"Delivery was quick and the packaging was great."
r003,"Customer support never replied. Terrible experience."
r004,"Sound quality is excellent for the price. The Bluetooth connection drops every few minutes though."
r005,"I ordered two and one arrived with a cracked case. Call me at 555-201-4477 or email jordan.test@example.com to sort out the refund."
r006,"Setup took five minutes. The app is clean and easy to use."
r007,"El producto llegó roto y nadie responde mis correos."
r008,""
r009,"Honestly the charger stopped working after a week. Returned it."
r010,"Great keyboard, keys feel solid. The RGB software is buggy and crashes on startup."
r011,"Fits perfectly, comfortable strap, and the battery lasts all weekend."
r012,"Shipped to 42 Elm Street, Springfield instead of my office. Courier was rude."
